Face,Direction,Eccentricity,Reaction Time (s),Correct?,Size,Eye Tracking Start Time (CPU Uptime)
A,0,0,0.4930529,1,2,1279579640
B,0,0,0.4658877,1,2,1279581703
A,2,0,0.4361968,1,2,1279589031
M,0,0,0.6113463,1,4,1279618796
A,2,0,0.4909672,1,8,1279623500
A,0,0,0.4650818,1,8,1279673421
B,0,0,0.39391,1,8,1279678484
M,2,0,0.4737128,1,8,1279726218
M,0,0,0.3973797,0,8,1279741078
M,2,0,0.5221162,1,6,1279758765
B,2,0,0.4559314,1,8,1279766062
M,0,0,0.5520418,1,8,1279775812
A,0,0,0.3981081,1,8,1279783468
A,2,0,0.3615546,1,2,1279788218
M,0,0,0.5316011,1,8,1279795984
M,0,0,0.5348738,1,8,1279798312
A,0,0,0.4150605,1,4,1279833218
A,2,0,0.391603,0,6,1279835593
B,0,0,0.436333,0,8,1279838156
B,0,0,0.4709723,1,8,1279843421
B,2,0,0.3804672,1,8,1279845500
B,0,0,0.4420134,1,8,1279850781
B,2,0,0.5175725,1,6,1279893640
A,2,0,0.4772743,1,4,1279896171
M,2,0,0.6137574,1,4,1279901390
B,0,0,0.5785789,1,2,1279911187
M,0,0,0.4786154,1,8,1279916109
B,0,0,0.3814514,0,8,1279926140
M,2,0,0.5396831,1,2,1279943156
B,2,0,0.4695764,1,8,1279955796
A,0,0,0.3897242,1,4,1279960859
B,2,0,0.435096,1,6,1279980453
B,0,0,0.4522906,1,8,1279990500
B,2,0,0.4535489,1,6,1280028546
B,2,0,0.3905279,0,8,1280040984
M,2,0,0.4527128,1,6,1280046171
A,0,0,0.4913781,1,4,1280048687
B,2,0,0.4375763,0,6,1280073656
M,2,0,0.4499822,1,8,1280075937
A,2,0,0.4940505,1,2,1280078265
M,2,0,0.4403095,1,6,1280095843
A,2,0,0.4500438,1,2,1280098250
A,2,0,0.4230262,0,6,1280105781
B,0,0,0.4798625,1,6,1280108078
B,0,0,0.4239327,1,6,1280110765
M,0,0,0.5075439,1,6,1280120390
M,2,0,0.4363082,1,2,1280122984
B,0,0,0.4556004,1,2,1280133312
A,2,0,0.3921932,1,4,1280157890
A,2,0,0.4035641,1,2,1280160218
M,0,0,0.5023699,1,6,1280182890
B,0,0,0.5252513,1,2,1280185484
A,2,0,0.4513292,1,2,1280192921
M,2,0,0.5027187,1,6,1280207843
M,2,0,0.4454655,1,6,1280307859
B,2,0,0.512085,1,8,1280330343
M,0,0,0.4721975,1,6,1280332640
A,0,0,0.4791711,1,6,1280349750
A,2,0,0.424697,1,6,1280357187
A,2,0,0.3525534,1,2,1280359703
A,0,0,0.3480097,1,4,1280374984
B,2,0,0.4839461,1,8,1280389703
B,0,0,0.4114532,0,8,1280401953
M,0,0,0.5078381,0,6,1280406796
M,0,0,0.5100273,1,2,1280416843
A,2,0,0.3949655,1,8,1280426890
A,0,0,0.3967149,1,2,1280429546
B,2,0,0.4524366,1,2,1280457718
B,0,0,0.4060678,1,6,1280462328
A,0,0,0.3886977,1,4,1280494750
M,2,0,0.5299917,1,2,1280502031
B,0,0,0.4943107,1,4,1280516937
A,0,0,0.3844796,1,6,1280519703
M,2,0,0.4650331,1,6,1280609875
M,2,0,0.398702,0,8,1280612250
B,2,0,0.5387351,1,4,1280622312
M,2,0,0.5235201,1,2,1280642062
A,0,0,0.4489778,1,4,1280644484
B,2,0,0.4734505,1,8,1280646937
A,0,0,0.5064009,1,8,1280649546
M,2,0,0.4305272,1,2,1280684468
B,2,0,0.4976876,1,4,1280686953
M,2,0,0.5787486,1,2,1280694156
B,0,0,0.4415309,1,4,1280711593
B,2,0,0.4408363,1,2,1280724390
A,0,0,0.3983039,1,4,1280729046
M,0,0,0.4342078,1,8,1280774906
M,0,0,0.384514,1,8,1280782437
B,0,0,0.4531261,1,8,1280787359
A,2,0,0.3768196,1,8,1280797281
M,0,0,0.4268909,1,8,1280799421
A,0,0,0.409332,1,4,1280851921
B,0,0,0.4713088,1,2,1280854109
B,0,0,0.4304653,1,2,1280856921
M,2,0,0.5011926,1,2,1280859390
A,2,0,0.3294477,1,6,1280904859
M,0,0,0.5176024,0,6,1280931718
A,2,0,0.3764733,1,8,1280944421
A,2,0,0.3782895,1,8,1280951734
A,2,0,0.44409,1,8,1281001875
A,2,0,0.3935029,1,8,1281006546
M,0,0,0.4041869,1,2,1281069609
M,0,0,0.412242,0,2,1281079421
M,0,0,0.4282615,1,6,1281091656
M,2,0,0.4862187,1,2,1281118500
M,0,0,0.4775707,1,2,1281125703
A,0,0,0.4860945,1,8,1281133531
A,2,0,0.4777721,1,8,1281141046
B,0,0,0.46893,1,4,1281145609
B,2,0,0.4777894,1,2,1281150625
A,0,0,0.3772088,1,6,1281173171
A,2,0,0.3929241,1,6,1281205781
A,2,0,0.3969805,1,8,1281215750
B,2,0,0.4329678,0,2,1281228093
A,2,0,0.4078147,1,8,1281230750
M,2,0,0.5216402,1,2,1281235546
B,0,0,0.4183504,1,4,1281243343
M,0,0,0.4734836,1,4,1281248109
M,0,0,0.4643929,0,8,1281253015
A,0,0,0.4625912,1,6,1281270828
M,0,0,0.5229784,1,6,1281290031
A,2,0,0.5029342,1,6,1281309968
B,0,0,0.4657439,0,6,1281312046
B,0,0,0.5271029,1,6,1281317031
B,2,0,0.4317152,1,6,1281339437
B,2,0,0.4430868,1,6,1281349187
A,2,0,0.4148271,1,6,1281351593
B,0,0,0.4493063,1,6,1281378968
M,0,0,0.5259673,1,6,1281381187
M,2,0,0.4882418,1,6,1281401265
M,0,0,0.5719212,1,6,1281463500
M,0,0,0.4619784,0,6,1281483734
B,2,0,0.5115965,1,6,1281498109
M,0,0,0.4405896,1,6,1281503250
B,0,0,0.4536346,1,6,1281508390
M,0,0,0.3648967,1,6,1281513078